Year,Mean_Temp
1951,10.02212389380531
1952,9.520353982300886
1953,10.258407079646018
1954,9.327433628318584
1955,9.110619469026549
1956,8.331858407079647
1957,10.177876106194692
1958,9.743362831858407
1959,10.704424778761062
1960,9.98141592920354
1961,10.490265486725665
1962,8.523008849557522
1963,8.485840707964602
1964,9.827433628318584
1965,9.082300884955753
1966,10.14424778761062
1967,10.346017699115045
1968,9.656637168141593
1969,9.643362831858408
1970,9.446017699115044
1971,9.984070796460177
1972,9.356637168141592
1973,9.91858407079646
1974,10.345132743362832
1975,10.46283185840708
1976,10.414159292035398
1978,9.307964601769912
1979,9.096460176991151
1980,9.517699115044248
1981,9.725663716814159
1982,10.453097345132743
1983,10.52566371681416
1984,9.670796460176991
1985,8.824778761061946
1986,9.483185840707964
1987,9.15132743362832
1988,10.641592920353983
1989,11.076991150442478
1990,11.059292035398231
1991,9.866371681415929
1992,10.732743362831858
1993,10.069911504424779
1994,11.267256637168142
1995,10.839823008849558
1996,9.03716814159292
1997,10.60442477876106
1998,10.661946902654867
1999,11.222123893805309
2000,11.36991150442478
2001,10.746902654867256
2002,11.267256637168142
2003,11.103539823008848
2004,10.476991150442478
2005,10.913274336283186
2006,11.325663716814159
2007,11.436283185840708
2008,10.736283185840708
2009,10.826548672566371
2010,9.446017699115044
2011,11.323893805309734
2012,10.595575221238938
2013,10.120353982300886
2014,11.7929203539823
2015,11.243362831858407
2016,11.036283185840707
2017,11.304424778761062
2018,11.815044247787611
2019,11.51858407079646
2020,12.093805309734513
2021,10.661061946902654
2022,12.127433628318585
